Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS lood en loodverbindingen	looddioxide	1309-60-0	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodnitraat	10099-74-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodperchloraat	13637-76-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodverbindingen		3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie verwacht
ZZS lood en loodverbindingen	dibasisch loodfosfiet	1344-40-7	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddiazide	13424-46-9	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	anorganische loodverbindingen		3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	2-nitro-1,3-benzeendiol, loodzout, basisch	68411-33-6	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	2-hydroxypropaan-1,2,3-tricarboxylaat, lood(2+), trihydraat	6107-83-1	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	4,14,22,32-tetrakis[4-(2-fenylpropaan-2-yl)fenoxy]-9,18,27,36,37,39,40,41-octaza-38lambda2-looddecacyclo[17.17.3.110,17.128,35.02,7.08,37.011,16.020,25.026,39.029,34]hentetraconta-1(36),2(7),3,5,8,10(41),11(16),12,14,17,19,21,23,25,27,29(34),30,32,35(40)-nonadecaeen	91083-54-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	azijnzuur, lood(2+) zout, trihydraat	6080-56-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	acetoxytrimethyllood	5711-19-3	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	bis(2,2,6,6-tetramethyl-3,5-heptaandionaat)lood(II)	21319-43-7	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	bis(diethyldithiocarbamaat-S,S')lood	17549-30-3	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	bis(pentaan-2,4-dionaat-O,O')lood	15282-88-9	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	bis[2-(nitro-kO)-4-nitrofenolaat-kO]-lood	625080-35-5	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	messingstaaf (met lood)		3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	gegloeid lood-zinkerts concentraat	94551-62-9	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	cesiumloodtribromide (laag watergehalte)	15243-48-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	cesiumloodtriiodide (laag watergehalte)	18041-25-3	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	chloortriethyllood	1067-14-7	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	chloortrifenyllood	1153-06-6	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS lood en loodverbindingen	citroenzuur, loodzout	14450-60-3	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
