Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS lood en loodverbindingen	loodmolybdaat	10190-55-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodrhodiumoxide	37240-96-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodsulfaat	7446-14-2	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	zwavelzuur loodzout	15739-80-7	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodalkylen		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	trilood-bis(carbonaat)-dihydroxide	1319-46-6	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodsulfochromaat	1344-37-2	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodchromaatmolybdaatsulfaat	12656-85-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	trilooddiarsenaat	3687-31-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	[ftalato(2-)]dioxotrilood	69011-06-9	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	basisch azijnzuur loodzout	51404-69-4	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	dioxobis(stearaat)trilood	12578-12-0	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	vetzuren, C16-18, loodzouten	91031-62-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodstyfnaat	15245-44-0	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodbis(tetrafluorboraat)	13814-96-5	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodcyanamidaat	20837-86-9	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddipicraat	6477-64-1	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodhexafluorsilikaat	25808-74-6	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodmonoxide	1317-36-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodoxidesulfaat	12036-76-9	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodtitaniumtrioxide	12060-00-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodtitaniumzirconiumoxide	12626-81-2	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	lood(II)methaansulfonaat	17570-76-2	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodoranje	1314-41-6	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	pentaloodtetraoxidesulfaat	12065-90-6	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	pyrochlore, antimoonlood geel	8012-00-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	kiezelzuur (H2Si2O5), bariumzout (1:1), gedoteerd met lood [met een lood (Pb) gehalte boven de toepasbare algemene concentratiegrens voor 'giftig voor reproductie' Repr. 1A (CLP) of categorie 1 (DSD), de verbinding is onderdeel van de groep loodverbindingen met index nummer 082-082-001-00-6 in Regulering (EC) No 1272/2008	68784-75-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	kiezelzuur, loodnikkelzout	68130-19-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	kiezelzuur loodzout	11120-22-2	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	zwavelzuur, loodzout, dibasisch	62229-08-7	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	tetra-ethyllood	78-00-2	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	tetraloodtrioxidesulfaat	12202-17-4	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	triloodbis(orthofosfaat)	7446-27-7	3.9 Sport en recreatie			Water	Emissie mogelijk
